%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
339590000000,17,339590000000,base_link,-0.00015914426763527658,0.00022043404672031431,-0.0002753667836307951,0.999999925127531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01682189385032996,-0.012349168123560603,-0.0014260201698769806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5578121021708085,0.6535497473511632,0.8689143745565318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339591000000,18,339591000000,base_link,-0.00015175313766166602,0.00022592631142824766,-0.00027619754480257843,0.9999999248215989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014780251471379542,0.010988353185143351,-0.0016560622602265053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8109766898531058,-1.4214588305845772,18.9919847116236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339593000000,19,339592000000,base_link,-0.00014364131569356825,0.000231937225499515,-0.0002769901423015486,0.9999999244243757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016220711551333682,0.012026569795916282,-0.0015797022861183101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155466752939515,-0.5752546250466872,0.7404757907178752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339593000000,20,339593000000,base_link,-0.00015096187154528464,0.00022682897445937738,-0.0002778705504499064,0.9999999242735406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01463943415740832,-0.010218838315807553,-0.0017641492551552268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7522521337817891,1.3638072258850342,18.598643810570053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339593000000,21,339594000000,base_link,-0.0001594538687956757,0.0002207399426361706,-0.00027858082707813477,0.9999999241205294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016980311773511923,-0.012182596345962774,-0.0014262329206347543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5577414584009343,0.653474270974009,0.8688195087787811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339595000000,22,339595000000,base_link,-0.00015214166915126124,0.00022631596941968024,-0.00027941177130063444,0.9999999237815255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014622308824813732,0.011155882225326007,-0.0016564292944621223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8109840541175869,-1.421474924465789,18.99206321677187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339596000000,23,339596000000,base_link,-0.0001441089370911654,0.00023241063317857062,-0.0002802044930976803,0.9999999233516741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01606244690600254,0.012194077728052437,-0.0015799502321881982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5154794951153476,-0.5751805613784753,0.7403848826625712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339597000000,24,339597000000,base_link,-0.00015150901153477642,0.00022738578376124688,-0.00028108508892639526,0.999999923165946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014798483385646162,-0.010052126630579264,-0.00176455041431907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75227225656555,1.3638119109735924,18.59875141118168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339597000000,25,339598000000,base_link,-0.0001600802800312971,0.00022138015598790973,-0.0002817954663633097,0.9999999229782199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017138861108388907,-0.012015886548046707,-0.001426461463118587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5576704758844584,0.6534005013584556,0.8687255795442486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339599000000,26,339599000000,base_link,-0.00015284711995028135,0.0002270400521801546,-0.0002826265797940246,0.9999999226063915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014464147123149732,0.011323625370549236,-0.0016567602092111458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8109881766910461,-1.4214949894642692,18.992139622875495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
