%time,field.name0,field.name1,field.name2,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.pose2.position.x,field.pose2.position.y,field.pose2.position.z,field.pose2.orientation.x,field.pose2.orientation.y,field.pose2.orientation.z,field.pose2.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z,field.twist2.linear.x,field.twist2.linear.y,field.twist2.linear.z,field.twist2.angular.x,field.twist2.angular.y,field.twist2.angular.z
415903000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225656113620863,0.00113368721041803,-0.2532038435445553,-0.03166199197669862,-0.031018376678267436,0.7116246571237322,0.7011602712260894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014980441533959641,0.0004971440869337867,-0.0040430285470846395,0.013834280380384941,-0.013965772438760654,0.0015137801102677638
415903000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.522564732968084,0.0011358607911930599,-0.25321121454456047,-0.031653912443054065,-0.03098364075725675,0.7116281990148662,0.7011585770703591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008783537848025084,0.0021735577276113683,-0.00737104537985029,-0.038434625924433696,0.0603296410470135,0.005679453087081535
415903000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225684151835736,0.0011353516215430709,-0.253199872761394,-0.031658818520943134,-0.031006658555300583,0.7116284528866024,0.7011570803873508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018586843832561514,0.0005385208915558075,0.005287156762624867,0.009323252855457858,-0.025566978574896922,0.0027901095322343823
415903000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225703291804047,0.0011358468213271112,-0.25320435659559587,-0.03166419884123585,-0.03101780951185095,0.7116288126811213,0.7011559790566483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019139968311241496,0.0004951997840403242,-0.004483834201891586,0.008233730871670038,-0.023340238121790827,0.002444422187956848
415903000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225698220169438,0.001138252078137014,-0.25321179406986066,-0.03165889503347819,-0.030981381473459246,0.711631886340287,0.7011547095406406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005071106588723029,0.0024052231938028854,-0.007437535091247962,-0.04467979291976212,0.058748505398583034,0.004138906774094068
415903000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225738344773017,0.0011380490095687164,-0.2532003989812926,-0.031667228957747484,-0.031005265699447202,0.7116314735849963,0.7011536963550083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018578209088166908,-0.00018125468553322505,0.0053859959514144466,0.011887516649613118,-0.01808177739388061,0.009663117755162882
415904000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225757569323417,0.00113781991736735,-0.2532048081677891,-0.03166949902418651,-0.03101548514563119,0.7116342388044207,0.7011503352876551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019224550400552935,-0.00022909220136637087,-0.004409186496514592,0.01097728404081894,-0.017594994284001367,0.009167845326543488
415905000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225735141659146,0.0011391329336151491,-0.25320980239891006,-0.03165605220675997,-0.03098624213403363,0.7116346179273328,0.7011518506889309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002242526595659828,0.0013129323618081294,-0.004994527164553975,-0.022692284579099345,0.060265412872549065,-0.002640623378566156
415906000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225749803189568,0.0011380289071651335,-0.2532005765590063,-0.03165516057609704,-0.031004296453720517,0.7116339937670125,0.7011517263228575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003775664029867557,-0.00035976029595215036,0.0059243819344763585,0.017086490662340637,-0.01201294422931246,-5.5309174479341804e-05
415907000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225754135786257,0.001137608089953309,-0.25320445684228154,-0.03165343239386938,-0.031014147745661094,0.7116334955460017,0.7011518743284338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004332596689330693,-0.0004208172118246071,-0.0038802832752606793,0.016484728624761188,-0.011377199175280446,-0.00017845803763122904
415908000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225735317243013,0.0011388456968066988,-0.2532117754206824,-0.031643319784289456,-0.03097994734099646,0.7116362507167072,0.7011510463813386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018818033948637808,0.0012375822874597512,-0.007318634229067109,-0.03471840519728003,0.06247587065978941,0.003503781022059926
415909000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225764625992236,0.0011374964660775554,-0.2532004197816503,-0.031643175864984364,-0.03100266326704228,0.7116368181893089,0.7011494728579097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012548097625084329,-0.0001483592577220449,0.006393714003439832,0.017618995587245268,-0.012439443108242954,0.003944980772472131
415910000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.5225777507874921,0.0011372867895330836,-0.25320387296710356,-0.031641426813152414,-0.031012757849262947,0.7116376050931503,0.7011483066920268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012881882684658015,-0.00020967654447188482,-0.0034531854532308466,0.016697451671884772,-0.011688750868113166,0.00351054739532232
