%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
160615000000,0,160615000000,base_link,-0.004055804310136108,-0.005066092317972372,-0.7071121014754101,0.7070716803175283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06815736107319828,0.015771674002648728,-0.48655220267271154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.194385529519028,-3.9993832820280826,10.491683879220163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160617000000,1,160616000000,base_link,-0.004051968534392574,-0.0050835032136247104,-0.7069397994200406,0.7072438472988127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03318959522469684,-0.018850075353084323,0.4869624388697409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0123498060307263,5.983258007516177,11.006723949940824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160618000000,2,160617000000,base_link,-0.004051968534392574,-0.0050835032136247104,-0.7069397994200406,0.7072438472988127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03318959522469684,-0.018850075353084323,0.4869624388697409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0123498060307263,5.983258007516177,11.006723949940824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160620000000,3,160619000000,base_link,-0.0040886942464872095,-0.005102794841398774,-0.7069398529647193,0.7072434434863192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04565277375829628,-0.04821646493359431,0.4865822977967199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02596274638079682,0.07387920780663271,10.65449596661343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160622000000,4,160621000000,base_link,-0.004116223713598325,-0.005116428762527973,-0.7071119531997297,0.7070711170038844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03655559527753435,0.0028053380393343024,-0.48651650414028014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8090110968082705,-6.392935306632667,9.010325708546631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160623000000,5,160622000000,base_link,-0.004086521921885357,-0.005135276683313307,-0.7069396782808142,0.707243395546531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07183887916970222,0.015696001141691087,0.4868025882985406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4810382825023858,4.846500877055211,8.846650568730928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160624000000,6,160623000000,base_link,-0.004086521921885357,-0.005135276683313307,-0.7069396782808142,0.707243395546531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07183887916970222,0.015696001141691087,0.4868025882985406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4810382825023858,4.846500877055211,8.846650568730928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160626000000,7,160625000000,base_link,-0.004052477648626424,-0.005077146359979481,-0.7071119773996314,0.7070717441870591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05596698021587569,0.04604010757676784,-0.48639899187458163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0078867870453776,-4.357499919026884,8.813509032627625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160627000000,8,160626000000,base_link,-0.004052477648626424,-0.005077146359979481,-0.7071119773996314,0.7070717441870591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05596698021587569,0.04604010757676784,-0.48639899187458163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0078867870453776,-4.357499919026884,8.813509032627625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160628000000,9,160627000000,base_link,-0.0040355005889322094,-0.0050838332348808225,-0.7069397223515163,0.7072440161190463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03661012266780188,0.01490634450726401,0.4869978752641654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.070589402998038,6.20299314390682,10.349325190249482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160630000000,10,160629000000,base_link,-0.00406410708709608,-0.005086138250398435,-0.7069395298644962,0.7072440281446338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037026019576203294,-0.03869169427700715,0.4873715053199113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1330086060162799,0.790463129622096,11.061671776529142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
