%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
160615000000,0,160615000000,BL_wheel_link,-21.713785782139773,20.933764416708538,5.343280433755423,0.0069236479959232195,0.02731036810776694,-0.42275274197164237
160616000000,1,160616000000,BL_wheel_link,22.89599206164082,-20.856597581431664,5.560330487364608,0.003800350654356916,-0.0336391887656821,0.42278204792349683
160617000000,2,160617000000,BL_wheel_link,-21.723230298744156,21.0152842068022,5.383048703719952,0.01074362324071959,0.03144530813012764,-0.4228322193036909
160618000000,3,160618000000,BL_wheel_link,22.362485800778153,-20.847032416193972,6.178316237840785,0.003762543927606488,-0.032122188794293405,0.4230324423213721
160619000000,4,160619000000,BL_wheel_link,-22.244247028536904,20.904757743010645,6.405989115466899,0.005338246450194697,0.035996958573328054,-0.42286657310032355
160620000000,5,160620000000,BL_wheel_link,21.653758976620885,-21.011736194607455,7.226931326368621,-0.004145720969718027,-0.03024080512707882,0.4227417476422201
160621000000,6,160621000000,BL_wheel_link,-22.557835587751292,20.752351681021125,7.168535383671585,-0.0026015773787385127,0.03638726729706689,-0.4226319562784918
160622000000,7,160622000000,BL_wheel_link,21.462549867791925,-21.12031429887537,7.390578230020507,-0.009086909582775147,-0.03166273791946891,0.4225416721673697
160623000000,8,160623000000,BL_wheel_link,-22.38150814805131,20.70807319897266,6.672094810887438,-0.004014308898277744,0.03362370997056028,-0.4227477614862525
160624000000,9,160624000000,BL_wheel_link,22.01803281150099,-21.118685528958263,6.320574080465216,-0.008993321365257509,-0.03380696988646928,0.4227686911260567
160625000000,10,160625000000,BL_wheel_link,-21.92667359022757,20.826667817720697,5.421149577908742,0.0016828566030428409,0.028868076703684912,-0.4227142012449625
160626000000,11,160626000000,BL_wheel_link,22.673422833162245,-20.980416121490766,5.359571331337102,-0.002105521966429311,-0.03469710813949582,0.4226434209509325
160627000000,12,160627000000,BL_wheel_link,-21.5896737864235,20.985495983137593,4.943361414544314,0.009658243358425639,0.028708820103487357,-0.42278208341539303
160628000000,13,160628000000,BL_wheel_link,22.704367669290455,-20.802553799608475,5.5870420211620795,0.006174605532532603,-0.03438156073071424,0.42296075601018707
160629000000,14,160629000000,BL_wheel_link,-21.786122644522553,21.005681197316473,5.744330618580898,0.010447157218610382,0.03452555721536773,-0.42312180253855525
160630000000,15,160630000000,BL_wheel_link,22.02541718785925,-20.888310340315755,6.885018522878812,0.0016764161304061236,-0.03198281519854901,0.42311159492512623
160631000000,16,160631000000,BL_wheel_link,-22.335874294091976,20.8391383007361,7.2720523224940035,0.001985927303738449,0.03774070021456531,-0.42271917635931633
160632000000,17,160632000000,BL_wheel_link,21.381848702041115,-21.07919754484828,8.046630109096274,-0.007414522920179773,-0.031473022561283856,0.42265620724218644
160633000000,18,160633000000,BL_wheel_link,-22.43037392919639,20.697556746142684,7.81672861124567,-0.004985453709946507,0.03774287925945562,-0.42252887890684565
160634000000,19,160634000000,BL_wheel_link,21.337270277535374,-21.168629438604107,7.553373528643014,-0.010848157402500645,-0.0354730484912139,0.42238505460191944
160635000000,20,160635000000,BL_wheel_link,-21.91885060482014,20.73156003796349,6.523937856436639,-0.0029037388897803127,0.03468431865748897,-0.42268719205168015
160636000000,21,160636000000,BL_wheel_link,22.05562432257558,-21.06903673013001,5.852630143673448,-0.006805129060119893,-0.0372365523715912,0.4227741581093725
160637000000,22,160637000000,BL_wheel_link,-21.5104718967675,20.899723856015196,4.93046693221114,0.005137805517885381,0.029873133598428782,-0.4227543443570562
160638000000,23,160638000000,BL_wheel_link,22.687036323075596,-20.909467365243533,4.822327531746509,0.0008662875251467619,-0.036494190114748866,0.42273127094518964
160639000000,24,160639000000,BL_wheel_link,-21.43656391752418,21.03481023088094,4.621106843260877,0.011743968735990087,0.032149326268467386,-0.42283935705711206
160640000000,25,160640000000,BL_wheel_link,22.40615160907425,-20.77622982691655,5.369030603824568,0.006634129284566159,-0.0350164257275351,0.42309483461600644
160641000000,26,160641000000,BL_wheel_link,-21.90028181915097,20.994134832863757,5.811163758953199,0.009556916391352296,0.03712652955870838,-0.4229326917796847
160642000000,27,160642000000,BL_wheel_link,21.66596227437117,-20.90743979205541,7.057017241318422,0.0006572292553060138,-0.03355549281085929,0.4227814869954228
160643000000,28,160643000000,BL_wheel_link,-22.24720739902575,20.783922869063154,7.603518324972912,-0.0012402627196453364,0.04177177409545873,-0.42262395354088783
160644000000,29,160644000000,BL_wheel_link,20.937117169292033,-21.107790369640334,8.363381796242207,-0.008921937709088602,-0.035831065399576895,0.4225351505012477
160645000000,30,160645000000,BL_wheel_link,-21.989584714015255,20.651779596436572,7.952653634511331,-0.007341436830577099,0.041395252688442366,-0.4223699790290922
160646000000,31,160646000000,BL_wheel_link,21.130541578659788,-21.214963148364127,7.651063190513785,-0.012858287551770013,-0.039647242092109077,0.4225375948811125
160647000000,32,160647000000,BL_wheel_link,-21.555975757088458,20.71257122900984,6.408798576972131,-0.003199583338133509,0.03570816348031671,-0.4228174812413561
160648000000,33,160648000000,BL_wheel_link,22.04676840771606,-21.034966434950846,5.785877683405296,-0.004565338933460697,-0.04051969029025405,0.4225794625097097
160649000000,34,160649000000,BL_wheel_link,-21.103261447952164,20.936465614131514,4.770881029196866,0.007429028661475837,0.0323824949844192,-0.42271216711973103
160650000000,35,160650000000,BL_wheel_link,22.489299033015673,-20.824514903461257,4.8685935826878275,0.005291048422363959,-0.03942426222330565,0.4228001381835017
160651000000,36,160651000000,BL_wheel_link,-21.161911141378415,21.065514434298784,4.64237184218546,0.013384034557901322,0.036516347259129056,-0.42292547897495875
160652000000,37,160652000000,BL_wheel_link,21.973599449088216,-20.750229210454844,5.664653084160104,0.007893125035723052,-0.03837619167303994,0.42320330657552657
160653000000,38,160653000000,BL_wheel_link,-21.74358880813615,20.949507581472798,5.985434608738456,0.007427109746713136,0.045176963785712884,-0.4229274002921987
160654000000,39,160654000000,BL_wheel_link,20.80266258575958,-20.974554995662032,7.48186110680726,-0.0026582416534751533,-0.039022629785137784,0.42274042678504203
160655000000,40,160655000000,BL_wheel_link,-21.813655957390132,20.7549285935563,7.552034491011347,-0.0028466872732124068,0.04472296495848776,-0.4226068930901585
160656000000,41,160656000000,BL_wheel_link,20.677171524032634,-21.177415072389042,8.259973931487837,-0.012286140331622127,-0.03676876570705562,0.42246352385814706
160657000000,42,160657000000,BL_wheel_link,-21.90825499163683,20.651979693902593,7.4747543323545935,-0.006667923395353875,0.03857617027206763,-0.42243263488012966
160658000000,43,160658000000,BL_wheel_link,21.462181934281436,-21.18003225711601,7.066736854113705,-0.011548931954717222,-0.03575902115444172,0.422663760528784
160659000000,44,160659000000,BL_wheel_link,-21.82918541180073,20.769554167303998,5.870226470163087,-0.0007653741701452325,0.028441330901888082,-0.42288672943992794
160660000000,45,160660000000,BL_wheel_link,22.808725451054137,-21.02636934931012,5.310632846618787,-0.004419155296127688,-0.035882207241479044,0.42259261427823386
160661000000,46,160661000000,BL_wheel_link,-21.389148418942195,20.98735910342413,4.575936643125414,0.00948695691830421,0.02612472948441412,-0.4226852422888555
160662000000,47,160662000000,BL_wheel_link,23.104651956055566,-20.8119579712682,4.910949137110904,0.005903492264177828,-0.034135658795236314,0.4227938178047135
160663000000,48,160663000000,BL_wheel_link,-21.61619118028757,21.08397184385598,4.9767021070994195,0.014014687821865442,0.03314168520669812,-0.4228267529829176
160664000000,49,160664000000,BL_wheel_link,22.072260412856494,-20.754815336881354,6.033061375352937,0.008158379720354528,-0.027607947255104594,0.4231504826932995
160665000000,50,160665000000,BL_wheel_link,-22.816567577025836,20.910329983376844,6.7356863590526705,0.005567930530086947,0.03286334481150513,-0.4229375324915852
160666000000,51,160666000000,BL_wheel_link,21.83635524198858,-21.048631265121102,7.6221590345310215,-0.006079976142021062,-0.02601296104602589,0.42267853875695943
160667000000,52,160667000000,BL_wheel_link,-23.007671086195803,20.693498328007706,7.940085125822561,-0.0056479628254192836,0.0337608505234409,-0.4225688360064518
160668000000,53,160668000000,BL_wheel_link,21.66805071114615,-21.200556372880115,7.9396422202151875,-0.012898397227904097,-0.029140141607614967,0.42249707501428135
160669000000,54,160669000000,BL_wheel_link,-22.604993765414378,20.64051571730066,7.226441772070036,-0.007102231451796003,0.030566354405063622,-0.42266467372379735
160670000000,55,160670000000,BL_wheel_link,22.320965926399868,-21.179986254130995,6.38901671405457,-0.011740963752239875,-0.03237201399559404,0.422663145565671
160671000000,56,160671000000,BL_wheel_link,-21.96744911277486,20.820239954725803,5.3448460669290805,0.0015019539504093399,0.02515438303874758,-0.42267936779744764
160672000000,57,160672000000,BL_wheel_link,23.11488843329867,-20.97136678899794,4.8939105074392435,-0.0015459964497637954,-0.03334245040509627,0.4225651477250835
160673000000,58,160673000000,BL_wheel_link,-21.600855803972436,21.054234185752094,4.51379449861835,0.012940391137878302,0.025268985639980826,-0.42269876221127495
160674000000,59,160674000000,BL_wheel_link,23.09739293942726,-20.723505855649503,5.018418036740152,0.010065832968754415,-0.03179948901947163,0.4228900087960942
160675000000,60,160675000000,BL_wheel_link,-21.99495985226294,21.0911468895767,5.4534911979010365,0.014307905604743773,0.03303704111285225,-0.42301584412005666
160676000000,61,160676000000,BL_wheel_link,22.258727929701156,-20.92240929646104,6.685529991342779,-0.0003285198501438185,-0.03676604808272212,0.4230003427268213
160677000000,62,160677000000,BL_wheel_link,-21.889328909110873,20.86558728079426,7.3115375894475525,0.0033025562503020927,0.04841321813455214,-0.4225803081489794
160678000000,63,160678000000,BL_wheel_link,20.389385652745503,-21.1709235517717,8.366338188663901,-0.012252119131751735,-0.043814169879326896,0.4225272429386174
