%time,field.name0,field.name1,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z
160471000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015980800043203765,-0.0041341665139405645,0.17425183542470857,-0.0040630825483033645,-0.005103908821252376,-0.7071130471662995,0.7070704208225238,0.0,0.0,0.0,0.0,0.0,0.0,-0.00369080160581948,-0.0050282979223109404,-0.0007312137942585232,0.03090849889808219,0.042126661138135735,-0.4870272285037534
160472000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001575256318569064,-0.004140236213061288,0.17425125377070164,-0.004046218455617197,-0.005112825575038097,-0.7069408502173359,0.7072426185014864,0.0,0.0,0.0,0.0,0.0,0.0,0.0022823685751312594,-0.006069699120723183,-0.0005816540069437312,0.01087944838375522,-0.033302123289110606,0.4872818084423261
160473000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001592608548444415,-0.004145056901191759,0.17425058348280267,-0.004065956749354415,-0.005087078383159481,-0.707113042704836,0.7070705300505352,0.0,0.0,0.0,0.0,0.0,0.0,-0.001735222987535129,-0.004820688130471179,-0.0006702878989740535,0.008852123982164265,0.061173463656282165,-0.4872866522755516
160474000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015512915384807783,-0.004150864525993342,0.1742504868223309,-0.004060574293666074,-0.005103027432171291,-0.7069408162970146,0.7072426408954304,0.0,0.0,0.0,0.0,0.0,0.0,0.0041317009963636785,-0.005807624801583794,-9.66604717775963e-05,-0.015296677982111706,-0.02701460215203034,0.48714055411056234
160475000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015597507682044495,-0.004155418501612128,0.1742507886804398,-0.004089140981817386,-0.005086276828684952,-0.707113131252743,0.7070703135643539,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008459229723671129,-0.0045539756187857675,0.0003018581088898107,-0.01636462979947326,0.06092522206139445,-0.48781501899266705
160476000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015191255014412677,-0.004161085605013656,0.17425160066809964,-0.004083276850400637,-0.005111506070509533,-0.7069409325511492,0.7072423327541739,0.0,0.0,0.0,0.0,0.0,0.0,0.004062526676318198,-0.005667103401527392,0.0008119876598448681,-0.0277320298171331,-0.040812741760822634,0.48705323539645373
160477000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001539265301248765,-0.0041656535966309895,0.17425247604850827,-0.004104246349792403,-0.0051004026848715574,-0.7071131106879873,0.7070701448565839,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020139799807497374,-0.004567991617333785,0.0008753804086189757,-0.013608162674523184,0.042187583924853285,-0.48730174251200326
160478000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015151944431527508,-0.004171467099582559,0.17425338369932034,-0.0040861004740869716,-0.005126738779849265,-0.7069409653028375,0.7072421734519876,0.0,0.0,0.0,0.0,0.0,0.0,0.0024070858096014386,-0.005813502951569528,0.0009076508120554345,-0.011928308618008827,-0.059737423656737065,0.4871263721394707
160479000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015537108580469426,-0.004176259175087409,0.17425384862157783,-0.004094607315428801,-0.005112264120109527,-0.7071130995045158,0.7070701262644429,0.0,0.0,0.0,0.0,0.0,0.0,-0.00385164148941918,-0.004792075504849483,0.00046492225749269166,0.008791636184655744,0.0293310524982733,-0.4869410725461349
160480000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.00015431979574578473,-0.004182290644928007,0.17425399444696066,-0.0040684466385534504,-0.005132116886311938,-0.7069408003722353,0.707242401081325,0.0,0.0,0.0,0.0,0.0,0.0,0.0010512900589095134,-0.006031469840598296,0.0001458253828149885,0.00856768248268915,-0.061899288997283544,0.487720771780751
160481000000,hina_ssi_visual_root,khm2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0001584818096013632,-0.004187301079097673,0.17425297048267765,-0.004071368965585342,-0.005109338195029196,-0.7071129894284394,0.7070703916863798,0.0,0.0,0.0,0.0,0.0,0.0,-0.004162013855578468,-0.005010434169665711,-0.0010239642829912247,0.028440552806641994,0.033185309431360284,-0.4869750795469511
